LocalOrderCode;ProductId;Description;Description DE;Price;Weight;DiscountFamilyGroup
PDNG1406COL;1STQ004377B0000;IP65 GL.DOOR X DOUB.D. H2100 W750 NO LE. SPECIAL COLOUR VERSION;IP65 GLAS.TÜR DOP.TÜR H2100 B750 NO HEB. GEFÄRBTE VERSION;374.9;30.5;Missing
PDNG1506COL;1STQ004378B0000;IP65 GL.DOOR X DOU.D. H2100 W500 NO LE. SPECIAL COLOUR VERSION;IP65 GLAS.TÜR DO.TÜR H2100 B500 NO HEB. GEFÄRBTE VERSION;310.5;24.0;Missing
PDNG1816COL;1STQ004379B0000;IP65 GL.DOOR 48 DIN H1800 W1000 NO LEVER SPECIAL COLOUR VERSION;IP65 GLAS.TÜR 48 DIN H1800 B1000 NO HEB. GEFÄRBTE VERSION;496.6965;32.0;Missing
PDNG1856COL;1STQ004380B0000;IP65 GL.DOOR H1800 W500 NO LEVER SPECIAL COLOUR VERSION;IP65 VERGLASTE TÜR H1800 B500 NO HEBEL GEFÄRBTE VERSION;246.813;20.0;Missing
PDNG1876COL;1STQ004381B0000;IP65 GL.DOOR H1800 W750 NO LEVER SPECIAL COLOUR VERSION;IP65 VERGLASTE TÜR H1800 B750 NO HEBEL GEFÄRBTE VERSION;315.6865;26.5;Missing
PDNG2116COL;1STQ004382B0000;IP65 GL.DOOR 48 DIN H2100 W1000 NO LEVER SPECIAL COLOUR VERSION;IP65 SICHTTÜR 48 DIN H2100 B1000 NO HEB. GEFÄRBTE VERSION;538.5335;37.0;Missing
PDNG2156COL;1STQ004383B0000;IP65 GL.DOOR H2100 W500 NO LEVER SPECIAL COLOUR VERSION;IP65 VERGLASTE TÜR H2100 B500 NO HEBEL GEFÄRBTE VERSION;272.458;24.0;Missing
PDNG2176COL;1STQ004384B0000;IP65 GL.DOOR H2100 W750 NO LEVER SPECIAL COLOUR VERSION;IP65 VERGLASTE TÜR H2100 B750 NO HEBEL GEFÄRBTE VERSION;340.4345;30.5;Missing
PDNG8406COL;1STQ004385B0000;IP65 GL.DOOR X DOUB.D. H1800 W750 NO LE. SPECIAL COLOUR VERSION;IP65 GLAS.TÜR DOP.TÜR H1800 B750 NO HEB. GEFÄRBTE VERSION;381.8;26.5;Missing
PDNG8506COL;1STQ004386B0000;IP65 GL.DOOR X DOU.D. H1800 W500 NO LE. SPECIAL COLOUR VERSION;IP65 GLAS.TÜR DOP.TÜR H1800 B500 NO HE. GEFÄRBTE VERSION;284.625;20.0;Missing
PPEB1816COL;1STQ004387B0000;IP65 EXTERNAL PANEL H=1800MM W=1000MM SPECIAL COLOUR VERSION;IP65 AUSSER.ABDECKPLAT.H=1800MM B=1000MM GEFÄRBTE VERSION;120.75;30.0;Missing
PPEB1825COL;1STQ004388B0000;IP65 EXTERNAL PANEL H=1800MM W=250MM SPECIAL COLOUR VERSION;IP65 AUSSER.ABDECKPLAT.H=1800MM B=250MM GEFÄRBTE VERSION;65.872;9.5;Missing
PPEB1826COL;1STQ004389B0000;IP65 EXTERNAL POWER H=1800MM D=200MM SPECIAL COLOUR VERSION;IP65 AUSSER.ABDECKPLAT.H=1800MM T=200MM GEFÄRBTE VERSION;57.8565;8.5;Missing
PPEB1836COL;1STQ004390B0000;IP65 EXTERNAL PANEL H=1800MM W/D=300MM SPECIAL COLOUR VERSION;IP65 AUSSER.ABDECKPL.H=1800MM B/T=300MM GEFÄRBTE VERSION;71.6565;11.0;Missing
PPEB1856COL;1STQ004391B0000;IP65 EXTERNAL PANEL H=1800MM W/D=500MM SPECIAL COLOUR VERSION;IP65 AUSSER.ABDECKPL.H=1800MM B/T=500MM GEFÄRBTE VERSION;78.8555;16.0;Missing
PPEB1875COL;1STQ004392B0000;IP65 EXTERNAL PANEL H=1800MM W=750MM SPECIAL COLOUR VERSION;IP65 AUSSER.ABDECKPLAT.H=1800MM B=750MM GEFÄRBTE VERSION;98.233;22.5;Missing
PPEB2116COL;1STQ004393B0000;IP65 EXTERNAL PANEL H=2100MM W=1000MM SPECIAL COLOUR VERSION;IP65 AUSSEN PLATTE H=2100MM B1000MM GEFÄRBTE VERSION;132.25;33.0;Missing
PPEB2125COL;1STQ004394B0000;IP65 EXTERNAL PANEL H=2100MM W=250MM SPECIAL COLOUR VERSION;IP65 AUSSER.ABDECKPLAT.H=2100MM B=250MM GEFÄRBTE VERSION;79.603;11.0;Missing
PPEB2126COL;1STQ004395B0000;IP65 EXTERNAL PANEL H=2100MM D=200MM SPECIAL COLOUR VERSION;IP65 EXTERN PLATTE H=2100MM T200MM GEFÄRBTE VERSION;73.2665;10.0;Missing
PPEB2136COL;1STQ004396B0000;IP65 EXTERNAL PANEL H=2100MM W/D=300MM SPECIAL COLOUR VERSION;IP65 AUSSEN PLATTE H=2100MM W/T300MM GEFÄRBTE VERSION;84.249;12.0;Missing
PPEB2156COL;1STQ004397B0000;IP65 EXTERNAL PANEL H=2100MM W/D=500MM SPECIAL COLOUR VERSION;IP65 AUSSEN PLATTE H=2100MM W/T500MM GEFÄRBTE VERSION;87.055;19.0;Missing
PPEB2175COL;1STQ004398B0000;IP65 EXTERNAL PANEL H=2100MM W=750MM SPECIAL COLOUR VERSION;IP65 AUSSER.ABDECKPLAT.H=2100MM B=750MM GEFÄRBTE VERSION;105.639;26.0;Missing
PPEB2176COL;1STQ004399B0000;IP65 EXTERNAL PANEL H=2100MM D=700MM SPECIAL COLOUR VERSION;IP65 AUSSEN PLATTE H=2100MM T700MM GEFÄRBTE VERSION;101.706;24.5;Missing
