ProductId;LocalOrderCode;HasGraphicalItem;Description;Price;weight;UnitOfMeasure;Quantity;Accessory;;;;;;;;;;;;;;;;;
1SDA051377R1;1SDA051377R1;0;MOS T1-T2-T3 Front 110...250Va.c./d.c.;0;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051379R1;1SDA051379R1;0;MOS T1-T2 Laterale 48...60Vd.c.;0;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051380R1;1SDA051380R1;0;MOS T1-T2 Lat. 110...250Va.c./d.c.;0;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051381R1;1SDA051381R1;0;RHD T1-T2-T3 STAND. DIRECT;55.5;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051382R1;1SDA051382R1;0;RHD_EM T1-T2-T3 EMER. DIRECT;55.5;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051383R1;1SDA051383R1;0;RHE T1-T2-T3 STAND. RETURNED;84.5;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051384R1;1SDA051384R1;0;RHE_EM T1-T2-T3 EMER. RETURNED;84.5;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051385R1;1SDA051385R1;0;RHE_B T1-T2-T3 BASE R.DIST.ADJ.ROT.HAND;37.8;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051386R1;1SDA051386R1;0;RHE_S T1-T2-T3 500MM ROD R.D.ADJ.ROT.HAN;12.6;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051387R1;1SDA051387R1;0;RHE_H T1-T2-T3 HANDLE R.D.ADJ.ROT.HAN;33.7;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051388R1;1SDA051388R1;0;RHE_H_EM T1-2-3 HAND.EME.R.D.ADJ.ROT.HAN;33.7;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051389R1;1SDA051389R1;0;RHL T1-2-3 KEY LOCK SEV. ROT.HANDLE1;30.3;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051390R1;1SDA051390R1;0;RHL T1-2-3 KEY LOCK EQ.N2005 ROT.HANDLE2;30.3;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051392R1;1SDA051392R1;0;RHEIP54 T1-2-3 PROTECTION IP54 ROT.HANDL;23.7;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051393R1;1SDA051393R1;0;PLL T1-2-3 REMOVPADLOCKS DEVICE OPEN;30.3;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051394R1;1SDA051394R1;0;PLL T1-T2-T3 PADLOCKS DEVICE OP/CL;30.3;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051395R1;1SDA051395R1;0;KLC T1 KEY LOCK RONIS WITOP/CL X C.BREA;103;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051396R1;1SDA051396R1;0;MIF T1-T2-T3 MECH LOCK 2 C.BREAKER;131;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051397R1;1SDA051397R1;0;ANTI-ADJUSTMENT FLANGE RELEASES T1.T3;17.3;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051398R1;1SDA051398R1;0;RC221/1 FOR T1 3p F;451;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051400R1;1SDA051400R1;0;RC222/1 FOR T1 3p F;857;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051401R1;1SDA051401R1;0;RC221/1 FOR T1 4p F;497;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051402R1;1SDA051402R1;0;RC222/1 FOR T1 4p F;948;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051403R1;1SDA051403R1;0;RC221/2 FOR T2 3p F;487;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051404R1;1SDA051404R1;0;RC222/2 FOR T2 3p F;926;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051405R1;1SDA051405R1;0;RC221/2 FOR T2 4p F;534;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051406R1;1SDA051406R1;0;RC222/2 FOR T2 4p F;1017;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051407R1;1SDA051407R1;0;RC221/3 FOR T3 3p F;543;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051408R1;1SDA051408R1;0;RC222/3 FOR T3 3p F;960;0;pcs;1;;;;;;;;;;;;;;;;;;
